Unnamed: 0,csa_code_origin,csa_code_dest,CarrID,yearq,Segid,seg_entry_tplus1,Dist,Dist_sq,pop_origin,pop_dest,ln2002pssgrdens,seg_entry_t,nonstop_comps,orig_share,dest_share,any_origin,any_dest,scheduled_flights,fstseats,busseats,ecoseats,scheduled_aircraft_max_take_off_weight,scheduled_aircraft_hold_volume,scheduled_aircraft_range_stat_miles,capacity_t,capacity_tplus1
3049,5,30,1,15,255,1,0.645995322,0.417309956,1528958,1984954,10.28472827,0,1,0.259933232,0.099076085,1,1,0,0,0,0,0,0,0,0,0
3056,5,30,8,15,255,1,0.645995322,0.417309956,1528958,1984954,10.28472827,0,1,0.173001403,0.297823072,1,1,0,0,0,0,0,0,0,0,0
3097,5,34,1,15,259,0,1.028095812,1.056980999,1528958,1540301,2.63905733,1,0,0.259933232,0.002100293,1,1,0,0,0,0,0,0,0,0,0
3168,5,39,12,15,264,0,0.352623467,0.12434331,1528958,1174737,8.407601515,1,1,0.338465717,0.300095801,1,1,0,0,0,0,0,0,0,0,0
3192,5,41,12,15,266,0,1.315809941,1.731355801,1528958,1672386,5.942799375,1,1,0.338465717,0.227115633,1,1,0,0,0,0,0,0,0,0,0
3229,5,45,1,15,270,0,0.867368017,0.752327276,1528958,4046571,12.1857934,1,3,0.259933232,0.034270858,1,1,0,0,0,0,0,0,0,0,0
3272,5,48,8,15,273,0,1.398965704,1.957105042,1528958,402383,5.081404365,1,1,0.173001403,0.133252443,1,1,0,0,0,0,0,0,0,0,0
3301,5,51,1,15,276,1,0.070444654,0.004962449,1528958,1932720,2.772588722,0,0,0.259933232,0.19430921,1,1,0,0,0,0,0,0,0,0,0
3306,5,51,6,15,276,0,0.070444654,0.004962449,1528958,1932720,2.772588722,1,0,0.010914011,0.010300133,1,1,0,0,0,0,0,0,0,0,0
3308,5,51,8,15,276,1,0.070444654,0.004962449,1528958,1932720,2.772588722,0,0,0.173001403,0.146456828,1,1,0,0,0,0,0,0,0,0,0
3310,5,51,10,15,276,1,0.070444654,0.004962449,1528958,1932720,2.772588722,0,0,0.020111412,0.033203236,1,1,0,0,0,0,0,0,0,0,0
3312,5,51,12,15,276,1,0.070444654,0.004962449,1528958,1932720,2.772588722,0,0,0.338465717,0.382197769,1,1,0,0,0,0,0,0,0,0,0
3320,5,52,8,15,277,1,0.877837863,0.770599314,1528958,1222544,0,0,1,0.173001403,0.482926396,1,1,0,0,0,0,0,0,0,0,0
3328,5,53,4,15,278,1,1.763268171,3.109114642,1528958,3259945,7.673223121,0,4,0.115522589,0.054898199,1,1,0,0,0,0,0,0,0,0,0
3414,5,60,6,15,285,1,0.791776468,0.626909975,1528958,975476,7.578656851,0,2,0.010914011,0.017651157,1,1,0,0,0,0,0,0,0,0,0
3420,5,60,12,15,285,0,0.791776468,0.626909975,1528958,975476,7.578656851,1,2,0.338465717,0.333081631,1,1,0,0,0,0,0,0,0,0,0
3468,6,10,12,15,289,0,0.094197665,0.0088732,1182625,4473477,4.852030264,1,0,0.213303778,0.147678127,1,1,0,0,0,0,0,0,0,0,0
3509,6,14,5,15,293,1,0.477085067,0.227610161,1182625,2106336,10.99651762,0,1,0.210162808,0.020798884,1,1,0,0,0,0,0,0,0,0,6
3540,6,16,12,15,295,1,0.547688901,0.299963132,1182625,1737170,9.135401285,0,3,0.213303778,0.247646663,1,1,0,0,0,0,0,0,0,0,0
